x,y,gcd,class,prime,A_p_size,periodic_count,primitive_count
4,2,2,r=2,7,1,1,0
6,3,3,r=3,37,1,1,0
8,5,1,irr,13,0,0,0
10,5,5,r=5,11,11,1,10
10,5,5,r=5,71,1,1,0
10,6,2,r=2,5,36,0,36
10,6,2,r=2,59,6,6,0
12,6,6,r=6,7,64,10,54
12,6,6,r=6,13,36,12,24
12,6,6,r=6,37,15,3,12
12,7,1,irr,23,14,0,14
12,7,1,irr,83,0,0,0
14,8,2,r=2,11,148,20,128
14,8,2,r=2,19,100,20,80
14,8,2,r=2,47,32,0,32
16,9,1,irr,45853,0,0,0
16,10,2,r=2,13,410,0,410
16,10,2,r=2,499,35,35,0
20,12,4,r=4,5,16020,36,15984
20,12,4,r=4,59,1314,6,1308
20,12,4,r=4,1753,150,126,24
22,13,1,irr,2599981,0,0,0
24,15,3,r=3,13,62775,0,62775
24,15,3,r=3,186793,50,35,15
25,15,5,r=5,5,383526,6,383520
25,15,5,r=5,768221,6,6,0
26,16,2,r=2,7,467096,120,466976
26,16,2,r=2,233,13728,0,13728
26,16,2,r=2,14753,984,792,192
27,16,1,irr,257,30016,0,30016
27,16,1,irr,354751,32,0,32
27,17,1,irr,5,1042899,0,1042899
27,17,1,irr,71,72420,0,72420
27,17,1,irr,14303,391,0,391
